Activity,Drink Quantity,Number of Standard Drinkings,Calorie in Alcohol,Calorie Level
Bottle Wine,7,53.9,650,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,7,5.6,123,high
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,7,18.9,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,7,9.1,166,very high
Low-strength Beer,7,4.2,83,moderate
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,7,7.7,139,very high
Glass Wine,7,10.5,130,very high
Full/Mid-strength Beer,7,7.7,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,7,7.7,107,high
Bottle Wine,8,61.6,650,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,8,21.6,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,8,10.4,166,Extreme
Low-strength Beer,8,4.8,83,high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,8,8.8,139,very high
Glass Wine,8,12,130,very high
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,8,8,163,Extreme
Full/Mid-strength Beer,8,8.8,202,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,8,6.4,123,very high
Both Low-strength Beer and glass of wine with same proportion,8,8.8,107,high
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,8,7.2,143,very high
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,9,8.1,143,Extreme
Low-strength Beer,9,5.4,83,high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,9,9.9,139,Extreme
Glass Wine,9,13.5,130,very high
Both Low-strength Beer and glass of wine with same proportion,9,9.9,107,very high
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,9,9,163,Extreme
Full/Mid-strength Beer,9,9.9,202,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,9,7.2,123,very high
Bottle Wine,9,69.3,650,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,9,24.3,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,9,11.7,166,Extreme
Low-strength Beer,10,6,83,high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,10,11,139,Extreme
Both Low-strength Beer and glass of wine with same proportion,10,11,107,very high
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,10,10,163,Extreme
Full/Mid-strength Beer,10,11,202,Extreme
Glass Wine,10,15,130,Extreme
Bottle Wine,10,77,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,10,13,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,10,27,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,10,9,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,10,8,123,Extreme
Glass Wine,11,16.5,130,Extreme
Bottle Wine,11,84.7,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,11,14.3,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,11,29.7,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,11,9.9,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,11,8.8,123,Extreme
Low-strength Beer,11,6.6,83,very high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,11,12.1,139,Extreme
Both Low-strength Beer and glass of wine with same proportion,11,12.1,107,very high
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,11,11,163,Extreme
Full/Mid-strength Beer,11,12.1,202,Extreme
Bottle Wine,12,92.4,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,12,15.6,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,12,32.4,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,12,10.8,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,12,9.6,123,Extreme
Low-strength Beer,12,7.2,83,very high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,12,13.2,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,12,12,163,Extreme
Full/Mid-strength Beer,12,13.2,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,12,13.2,107,Extreme
Glass Wine,12,18,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,13,16.9,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,13,35.1,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,13,11.7,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,13,10.4,123,Extreme
Low-strength Beer,13,7.8,83,very high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,13,14.3,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,13,13,163,Extreme
Full/Mid-strength Beer,13,14.3,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,13,14.3,107,Extreme
Glass Wine,13,19.5,130,Extreme
Bottle Wine,13,100.1,650,Extreme
Low-strength Beer,14,8.4,83,very high
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,14,15.4,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,14,14,163,Extreme
Full/Mid-strength Beer,14,15.4,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,14,15.4,107,Extreme
Glass Wine,14,21,130,Extreme
Bottle Wine,14,107.8,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,14,18.2,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,14,37.8,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,14,12.6,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,14,11.2,123,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,15,15,163,Extreme
Full/Mid-strength Beer,15,16.5,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,15,16.5,107,Extreme
Low-strength Beer,15,9,83,Extreme
Glass Wine,15,22.5,130,Extreme
Bottle Wine,15,115.5,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,15,19.5,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,15,40.5,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,15,13.5,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,15,12,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,15,16.5,139,Extreme
Low-strength Beer,16,9.6,83,Extreme
Glass Wine,16,24,130,Extreme
Bottle Wine,16,123.2,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,16,20.8,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,16,43.2,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,16,14.4,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,16,12.8,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,16,17.6,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,16,16,163,Extreme
Full/Mid-strength Beer,16,17.6,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,16,17.6,107,Extreme
Bottle Wine,17,130.9,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,17,22.1,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,17,45.9,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,17,15.3,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,17,13.6,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,17,18.7,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,17,17,163,Extreme
Full/Mid-strength Beer,17,18.7,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,17,18.7,107,Extreme
Low-strength Beer,17,10.2,83,Extreme
Glass Wine,17,25.5,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,18,23.4,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,18,48.6,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,18,16.2,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,18,19.8,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,18,18,163,Extreme
Full/Mid-strength Beer,18,19.8,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,18,19.8,107,Extreme
Low-strength Beer,18,10.8,83,Extreme
Glass Wine,18,27,130,Extreme
Bottle Wine,18,138.6,650,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,18,14.4,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,19,20.9,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,19,15.2,123,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,19,19,163,Extreme
Full/Mid-strength Beer,19,20.9,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,19,20.9,107,Extreme
Low-strength Beer,19,11.4,83,Extreme
Glass Wine,19,28.5,130,Extreme
Bottle Wine,19,146.3,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,19,24.7,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,19,51.3,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,19,17.1,143,Extreme
Full/Mid-strength Beer,20,22,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,20,22,107,Extreme
Low-strength Beer,20,12,83,Extreme
Glass Wine,20,30,130,Extreme
Bottle Wine,20,154,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,20,26,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,20,54,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,20,18,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,20,16,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,20,22,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,20,20,163,Extreme
Bottle Wine,21,161.7,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,21,27.3,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,21,56.7,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,21,18.9,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,21,16.8,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,21,23.1,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,21,21,163,Extreme
Full/Mid-strength Beer,21,23.1,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,21,23.1,107,Extreme
Low-strength Beer,21,12.6,83,Extreme
Glass Wine,21,31.5,130,Extreme
Bottle Wine,22,169.4,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,22,28.6,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,22,59.4,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,22,19.8,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,22,17.6,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,22,24.2,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,22,22,163,Extreme
Full/Mid-strength Beer,22,24.2,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,22,24.2,107,Extreme
Low-strength Beer,22,13.2,83,Extreme
Glass Wine,22,33,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,23,18.4,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,23,25.3,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,23,23,163,Extreme
Full/Mid-strength Beer,23,25.3,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,23,25.3,107,Extreme
Low-strength Beer,23,13.8,83,Extreme
Glass Wine,23,34.5,130,Extreme
Bottle Wine,23,177.1,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,23,29.9,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,23,62.1,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,23,20.7,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,24,24,163,Extreme
Full/Mid-strength Beer,24,26.4,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,24,26.4,107,Extreme
Low-strength Beer,24,14.4,83,Extreme
Glass Wine,24,36,130,Extreme
Bottle Wine,24,184.8,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,24,31.2,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,24,64.8,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,24,21.6,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,24,19.2,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,24,26.4,139,Extreme
Low-strength Beer,25,15,83,Extreme
Glass Wine,25,37.5,130,Extreme
Bottle Wine,25,192.5,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,25,32.5,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,25,67.5,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,25,22.5,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,25,20,123,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,25,27.5,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,25,25,163,Extreme
Full/Mid-strength Beer,25,27.5,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,25,27.5,107,Extreme
Bottle Wine,26,200.2,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,26,33.8,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,26,70.2,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,26,23.4,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,26,28.6,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,26,26,163,Extreme
Full/Mid-strength Beer,26,28.6,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,26,28.6,107,Extreme
Low-strength Beer,26,15.6,83,Extreme
Glass Wine,26,39,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,27,35.1,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,27,72.9,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,27,24.3,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,27,29.7,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,27,21.6,123,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,27,27,163,Extreme
Full/Mid-strength Beer,27,29.7,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,27,29.7,107,Extreme
Low-strength Beer,27,16.2,83,Extreme
Glass Wine,27,40.5,130,Extreme
Bottle Wine,27,207.9,650,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,28,30.8,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,28,28,163,Extreme
Full/Mid-strength Beer,28,30.8,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,28,30.8,107,Extreme
Low-strength Beer,28,16.8,83,Extreme
Glass Wine,28,42,130,Extreme
Bottle Wine,28,215.6,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,28,36.4,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,28,75.6,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,28,25.2,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,29,29,163,Extreme
Full/Mid-strength Beer,29,31.9,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,29,31.9,107,Extreme
Low-strength Beer,29,17.4,83,Extreme
Glass Wine,29,43.5,130,Extreme
Bottle Wine,29,223.3,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,29,37.7,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,29,78.3,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,29,26.1,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,29,31.9,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,30,24,123,Extreme
Bottle Wine,30,231,650,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,30,39,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,30,81,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,30,27,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,30,33,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,30,30,163,Extreme
Full/Mid-strength Beer,30,33,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,30,33,107,Extreme
Low-strength Beer,30,18,83,Extreme
Glass Wine,30,45,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,31,40.3,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,31,83.7,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,31,27.9,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,31,34.1,139,Extreme
Full/Mid-strength Beer,31,34.1,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,31,34.1,107,Extreme
Low-strength Beer,31,18.6,83,Extreme
Glass Wine,31,46.5,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,31,31,163,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,32,28.8,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,32,35.2,139,Extreme
Full/Mid-strength Beer,32,35.2,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,32,35.2,107,Extreme
Low-strength Beer,32,19.2,83,Extreme
Glass Wine,32,48,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,32,32,163,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,32,41.6,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,32,86.4,312,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,33,36.3,139,Extreme
Full/Mid-strength Beer,33,36.3,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,33,36.3,107,Extreme
Low-strength Beer,33,19.8,83,Extreme
Glass Wine,33,49.5,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,33,33,163,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,33,42.9,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,33,89.1,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,33,29.7,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,33,26.4,123,Extreme
Low-strength Beer,34,20.4,83,Extreme
Glass Wine,34,51,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,34,34,163,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,34,44.2,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,34,91.8,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,34,30.6,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,34,37.4,139,Extreme
Full/Mid-strength Beer,34,37.4,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,34,37.4,107,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,35,35,163,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,35,45.5,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,35,94.5,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,35,31.5,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,35,38.5,139,Extreme
Full/Mid-strength Beer,35,38.5,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,35,38.5,107,Extreme
Low-strength Beer,35,21,83,Extreme
Glass Wine,35,52.5,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,36,46.8,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,36,97.2,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,36,32.4,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,36,39.6,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,36,36,163,Extreme
Full/Mid-strength Beer,36,39.6,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,36,39.6,107,Extreme
Low-strength Beer,36,21.6,83,Extreme
Glass Wine,36,54,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,36,28.8,123,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,37,37,163,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,37,40.7,139,Extreme
Full/Mid-strength Beer,37,40.7,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,37,40.7,107,Extreme
Low-strength Beer,37,22.2,83,Extreme
Glass Wine,37,55.5,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,37,48.1,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,37,99.9,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,37,33.3,143,Extreme
Full/Mid-strength Beer,38,41.8,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,38,41.8,107,Extreme
Low-strength Beer,38,22.8,83,Extreme
Glass Wine,38,57,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,38,49.4,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,38,102.6,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,38,34.2,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,38,38,163,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,38,41.8,139,Extreme
Glass Wine,39,58.5,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,39,39,163,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,39,50.7,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,39,105.3,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,39,31.2,123,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,39,35.1,143,Extreme
